Date;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-09-28T15:00:00.0/2019-09-28T16:00:00.0;212.6159;97.5676;40.6829;56.8847;234.3749;83.7945;22.6993;61.0953;150.3937;1.0000
2019-09-28T16:00:00.0/2019-09-28T17:00:00.0;18.8063;5.2898;0.6868;4.6030;13.0804;5.2898;0.6868;4.6030;13.0804;0.8333
2019-09-28T17:00:00.0/2019-09-28T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T18:00:00.0/2019-09-28T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T19:00:00.0/2019-09-28T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T20:00:00.0/2019-09-28T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T21:00:00.0/2019-09-28T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T22:00:00.0/2019-09-28T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-28T23:00:00.0/2019-09-29T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T00:00:00.0/2019-09-29T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T01:00:00.0/2019-09-29T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T02:00:00.0/2019-09-29T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T03:00:00.0/2019-09-29T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T04:00:00.0/2019-09-29T05:00:00.0;10.3042;2.8990;0.3787;2.5203;9.2849;0.3725;0.0000;0.3725;0.0000;0.8583
2019-09-29T05:00:00.0/2019-09-29T06:00:00.0;188.2318;92.4529;46.8389;45.6140;299.8118;10.7589;0.0000;10.7589;0.0000;0.8417
2019-09-29T06:00:00.0/2019-09-29T07:00:00.0;410.8742;256.8331;173.8020;83.0311;566.3881;118.6660;4.2549;114.4111;13.5525;1.0000
2019-09-29T07:00:00.0/2019-09-29T08:00:00.0;602.7684;415.5407;313.0302;102.5104;702.7541;293.2692;62.1753;231.0939;135.4453;1.0000
2019-09-29T08:00:00.0/2019-09-29T09:00:00.0;750.8082;542.2196;429.6219;112.5977;776.1732;424.6684;147.8488;276.8196;266.8322;1.0000
2019-09-29T09:00:00.0/2019-09-29T10:00:00.0;844.8771;623.6954;507.0326;116.6628;814.6554;589.5627;419.0762;170.4865;669.3630;1.0000
2019-09-29T10:00:00.0/2019-09-29T11:00:00.0;878.5392;652.7805;536.3950;116.3854;828.9938;652.7805;536.3950;116.3854;828.9938;1.0000
2019-09-29T11:00:00.0/2019-09-29T12:00:00.0;849.4777;627.3682;514.8271;112.5411;822.8028;609.1633;479.5996;129.5637;764.6895;1.0000
2019-09-29T12:00:00.0/2019-09-29T13:00:00.0;759.6539;548.6080;440.7330;107.8750;787.0481;414.0330;228.0751;185.9579;412.8202;1.0000
2019-09-29T13:00:00.0/2019-09-29T14:00:00.0;615.1736;423.5032;323.1917;100.3115;711.1165;387.3336;260.8860;126.4476;566.9929;1.0000
2019-09-29T14:00:00.0/2019-09-29T15:00:00.0;425.8693;265.9325;182.8830;83.0494;575.7652;179.9805;65.5407;114.4398;184.5825;1.0000
2019-09-29T15:00:00.0/2019-09-29T16:00:00.0;204.6305;101.1159;52.8379;48.2781;317.2620;85.9285;32.4395;53.4891;197.4331;1.0000
2019-09-29T16:00:00.0/2019-09-29T17:00:00.0;15.7490;4.6302;0.8074;3.8227;16.6572;4.6302;0.8074;3.8227;16.6572;0.8500
2019-09-29T17:00:00.0/2019-09-29T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T18:00:00.0/2019-09-29T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T19:00:00.0/2019-09-29T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T20:00:00.0/2019-09-29T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T21:00:00.0/2019-09-29T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-29T22:00:00.0/2019-09-29T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
